Abies	Alnus	Betula	Carpinus	Castanea	Cedrus	Corylus	Ephedra	Fagus	Juniperus	Larix	Olea	Ostrya	Phillyrea	Picea	Pinus_D	Pinus_H	Pistacia	Quercus_D	Quercus_E	Salix	Tilia	Ulmus	Artemisia	Chenopodiaceae	Cyperaceae	Ericales	Gramineae
0	195	107	0	0	0	247	0	0	0	0	0	0	0	0	46	0	0	220	0	37	0	15	0	6	12	12	104
0	249	150	0	0	0	195	0	0	0	0	0	0	0	0	54	0	0	192	0	23	0	14	0	0	6	14	105
0	210	123	0	0	0	216	0	0	0	0	0	0	0	0	53	0	0	199	0	36	0	6	0	0	11	11	134
0	183	155	0	0	0	189	0	0	0	0	0	0	0	0	56	0	0	261	0	50	0	12	0	0	25	3	65
0	213	105	0	0	0	238	0	0	0	0	0	0	0	0	39	0	0	260	0	30	0	11	0	0	17	8	78
0	193	112	0	0	0	232	0	0	0	0	0	0	0	0	42	0	0	253	0	23	0	18	0	0	16	13	97
0	211	101	0	0	0	222	0	0	0	0	0	0	0	0	110	0	0	199	0	25	0	22	0	0	8	28	73
0	192	71	0	0	0	218	0	0	0	0	0	0	0	0	42	0	0	341	0	26	0	5	0	0	8	11	87
0	256	107	0	0	0	150	0	0	0	0	0	0	0	0	89	0	0	312	0	18	0	8	0	0	3	5	53
0	260	94	0	0	0	211	0	0	0	0	0	0	0	0	74	0	0	260	0	11	0	9	0	0	9	11	60
0	276	85	0	0	0	196	0	0	0	0	0	0	0	0	45	0	0	258	0	26	0	6	0	0	6	14	88
0	311	37	0	0	0	192	0	0	0	0	0	0	0	0	79	0	0	296	0	12	0	18	0	0	12	6	37
0	239	94	0	0	0	242	0	0	0	0	0	0	0	0	43	0	0	312	0	20	3	26	0	0	3	6	14
0	193	76	0	0	0	292	0	3	0	0	0	0	0	0	56	0	0	284	0	18	0	32	0	0	12	12	23
0	234	97	0	0	0	274	0	0	0	0	0	0	0	0	106	0	0	223	0	7	0	28	0	0	7	2	23
0	209	74	0	0	0	276	0	0	0	0	0	0	0	0	119	0	0	242	0	14	0	36	0	0	7	10	14
0	263	65	0	0	0	252	0	0	0	0	0	0	0	0	132	0	0	203	0	7	0	42	0	0	12	2	23
0	296	33	0	0	0	313	0	0	0	0	0	0	0	0	110	0	0	188	0	15	0	8	0	0	5	10	23
0	237	48	0	0	0	298	0	0	0	0	0	0	0	0	137	0	0	198	0	4	0	69	0	0	2	2	4
0	254	52	0	0	0	276	0	0	0	0	0	0	0	0	122	0	0	204	0	3	0	72	0	0	3	3	12
0	234	37	0	0	0	275	0	0	0	0	0	0	0	0	197	0	0	167	0	5	0	55	0	0	2	9	18
0	211	54	0	0	0	273	0	0	0	0	0	0	0	0	265	0	0	122	0	11	3	46	0	0	3	5	8
0	63	76	0	0	0	349	0	0	0	0	0	0	0	0	243	0	0	186	0	11	0	53	0	0	6	0	13
0	10	65	0	0	0	354	0	0	0	0	0	0	0	0	328	0	0	118	0	39	0	41	0	0	14	2	29
0	2	80	0	0	0	327	0	0	0	0	0	0	0	0	361	0	0	137	0	41	0	29	0	0	5	0	17
0	0	94	0	0	0	416	0	0	2	0	0	0	0	0	250	0	0	168	0	19	0	24	0	0	5	5	17
0	0	73	0	0	0	450	0	0	0	0	0	0	0	0	234	0	0	124	0	30	0	52	0	2	9	7	19
0	0	53	0	0	0	616	0	0	0	0	0	0	0	0	67	0	0	125	0	34	0	65	0	0	5	5	31
0	0	54	0	0	0	586	0	0	0	0	0	0	0	0	45	0	0	181	0	38	0	61	0	0	5	9	21
0	0	70	0	0	0	699	0	0	0	0	0	0	0	0	36	0	0	61	0	34	0	30	0	0	6	6	59
0	0	47	0	0	0	812	0	0	0	0	0	0	0	0	38	0	0	12	0	38	0	9	0	0	5	9	28
0	0	104	0	0	0	719	0	0	0	0	0	0	0	0	57	0	0	7	0	35	0	7	0	0	10	7	52
0	0	278	0	0	0	312	0	0	6	0	0	0	0	0	28	0	0	11	0	156	0	0	3	0	31	28	147
0	0	329	0	0	0	206	0	0	37	0	0	0	0	0	16	0	0	3	0	112	0	0	3	0	19	46	230
0	0	429	0	0	0	42	0	0	217	0	0	0	0	0	3	0	0	0	0	84	0	0	0	0	25	47	153
0	0	158	0	0	0	4	0	0	546	0	0	0	0	0	9	0	0	2	0	29	0	0	4	0	20	86	140
0	0	101	0	0	0	0	0	0	60	0	0	0	0	0	18	0	0	0	0	24	0	0	3	3	66	382	343
0	0	41	0	0	0	3	0	0	35	0	0	0	0	0	6	0	0	0	0	28	0	0	6	3	111	228	538
0	0	253	0	0	0	7	0	0	38	0	0	0	0	0	0	0	0	3	0	61	0	0	3	3	150	99	382
0	0	245	0	0	0	4	0	0	15	0	0	0	0	0	4	0	0	0	0	64	0	0	4	0	106	143	415
0	0	295	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	44	0	0	37	0	87	134	386
0	0	231	0	0	0	0	0	0	10	0	0	0	0	0	13	0	0	0	0	35	0	0	25	0	117	130	440
0	0	248	0	0	0	0	3	0	3	0	0	0	0	0	10	0	0	0	0	33	0	0	26	3	143	163	368
0	0	292	0	0	0	5	0	0	5	0	0	0	0	0	5	0	0	0	0	46	0	0	19	0	130	65	435
0	0	455	0	0	0	3	0	0	13	0	0	0	0	0	9	0	0	0	0	25	0	0	22	0	103	128	243
0	0	319	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	0	0	21	0	95	221	323
0	0	328	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	53	0	0	29	4	115	188	242
0	0	297	0	0	0	0	0	0	28	0	0	0	0	0	3	0	0	0	0	49	0	0	42	3	77	266	234
0	0	345	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	30	0	0	40	3	92	214	257
0	0	346	0	0	0	0	0	0	17	0	0	0	0	0	7	0	0	0	0	10	0	0	33	3	70	179	336
0	4	360	0	0	0	0	0	0	7	0	0	0	0	0	4	0	0	0	0	14	0	0	29	4	58	281	241
0	0	318	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	31	0	0	42	0	81	234	284
0	0	361	0	0	0	0	0	0	18	0	0	0	0	0	3	0	0	0	0	21	0	0	6	0	73	238	282
0	0	388	0	0	0	3	0	0	15	0	0	0	0	0	3	0	0	0	0	28	0	0	3	0	61	203	295
0	0	279	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	84	199	370
0	0	307	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	87	232	336
0	2	221	0	0	0	0	0	0	252	0	0	0	0	0	5	0	0	0	0	7	0	0	2	2	168	61	280
0	0	358	0	0	0	0	0	0	296	0	0	0	0	2	2	0	0	0	0	5	0	0	0	0	58	39	240
0	0	291	0	0	0	0	0	0	383	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	72	47	199
0	0	149	0	0	0	0	2	0	386	0	0	0	0	2	2	0	0	0	0	7	0	0	2	0	70	91	288
0	0	228	0	0	0	0	0	0	324	0	0	0	0	0	11	0	0	2	0	11	0	0	2	2	68	64	285
0	0	351	0	0	0	2	0	0	247	0	0	0	0	0	2	0	0	0	0	7	0	0	5	0	59	64	260
0	0	506	0	0	0	2	0	0	188	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	49	35	210
0	0	502	0	0	0	0	0	0	147	0	0	0	0	0	7	0	0	0	0	7	0	0	2	0	64	36	235
0	0	493	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	2	0	12	0	0	0	0	58	29	191
0	0	304	0	0	0	0	0	0	288	0	0	0	0	0	5	0	0	0	0	18	0	0	3	3	82	46	253
0	0	320	0	0	0	0	0	0	466	0	0	0	0	0	7	0	0	0	0	2	0	0	2	0	23	30	148
0	0	88	0	0	0	0	0	0	391	0	0	0	0	0	2	0	0	0	0	2	0	0	22	0	88	122	284
0	0	108	0	0	0	0	0	0	177	0	0	0	0	0	6	0	0	0	0	3	0	0	19	0	184	193	310
0	0	229	0	0	0	0	0	0	343	0	0	0	0	0	6	0	0	0	0	31	0	0	3	3	51	123	211
0	0	224	0	0	0	0	0	0	382	0	0	0	0	0	7	0	0	0	0	21	0	0	2	0	70	79	214
0	0	190	0	0	0	0	0	0	20	0	0	0	0	0	5	0	0	0	0	265	0	0	15	0	170	95	240
0	5	83	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	244	0	0	20	0	249	15	361
0	5	64	0	0	0	5	5	0	43	0	0	0	0	0	27	0	0	0	0	58	0	0	16	0	282	5	489
0	9	73	0	0	0	0	6	0	15	0	0	0	0	3	43	0	0	0	0	116	0	0	89	3	266	0	376
0	14	152	0	0	0	36	3	0	0	0	0	0	0	8	72	0	0	3	0	77	3	0	61	8	229	3	331
